Image_ID,PSNR_Blurred,PSNR_Restored,SSIM_Blurred,SSIM_Restored
000000000139,25.26,21.54,0.7491,0.6607
000000000285,22.53,19.19,0.6216,0.4729
000000000632,21.14,19.37,0.5095,0.3555
000000000724,21.74,18.25,0.6545,0.5097
000000000776,23.27,19.56,0.5593,0.2347
000000000785,21.82,18.88,0.7074,0.6728
000000000802,26.61,23.46,0.744,0.6973
000000000872,20.12,18.03,0.4666,0.3731
000000000885,24.37,22.72,0.7893,0.7868
000000001000,19.42,17.75,0.4915,0.4194
000000001268,18.41,17.64,0.5186,0.4903
000000001296,23.56,19.91,0.7719,0.6667
000000001353,29.97,25.32,0.8553,0.7684
000000001425,25.01,20.15,0.83,0.7981
000000001490,20.86,19.15,0.3312,0.3213
000000001503,22.83,19.48,0.6494,0.5665
000000001532,23.25,20.7,0.6658,0.6443
000000001584,29.49,22.33,0.9007,0.7089
000000001675,24.69,19.27,0.789,0.6321
000000001761,20.42,17.38,0.793,0.7579
